"Downloaded on",03/19/2021,"13:51:33 EDT"
"Search URL",https://www.congress.gov/search?q=%7B%22source%22%3A%22legislation%22%2C%22congress%22%3A%5B%22117%22%2C%22116%22%5D%2C%22bill-status%22%3A%22law%22%7D&searchResultViewType=expanded

"Legislation Number",URL,Congress,"Amends Bill",Title,Sponsor,"Date of Introduction","Date Offered","Date Submitted","Date Proposed","Number of Cosponsors",Committees,"Latest Action Date","Latest Action"
"S. 3637",https://www.congress.gov/bill/116th-congress/senate-bill/3637,"116th Congress (2019-2020)",,"A bill to amend the Servicemembers Civil Relief Act to extend lease protections for servicemembers under stop movement orders in response to a local, national, or global emergency, and for other purposes.","Sen. Tester, Jon [D-MT]",05/06/2020,,,,16,"Senate - Veterans' Affairs",08/14/2020,"Became Public Law No: 116-158."
"S. 3607",https://www.congress.gov/bill/116th-congress/senate-bill/3607,"116th Congress (2019-2020)",,"Safeguarding America's First Responders Act of 2020","Sen. Grassley, Chuck [R-IA]",05/05/2020,,,,22,"Senate - Judiciary",08/14/2020,"Became Public Law No: 116-157."
"S. 3587",https://www.congress.gov/bill/116th-congress/senate-bill/3587,"116th Congress (2019-2020)",,"Department of Veterans Affairs Website Accessibility Act of 2019","Sen. Casey, Robert P., Jr. [D-PA]",03/26/2020,,,,2,,12/04/2020,"Became Public Law No: 116-213."
"S. 3503",https://www.congress.gov/bill/116th-congress/senate-bill/3503,"116th Congress (2019-2020)",,"A bill to authorize the Secretary of Veterans Affairs to treat certain programs of education converted to distance learning by reason of emergencies and health-related situations in the same manner as programs of education pursued at educational institutions, and for other purposes.","Sen. Moran, Jerry [R-KS]",03/16/2020,,,,30,,03/21/2020,"Became Public Law No: 116-128."
"S. 3462",https://www.congress.gov/bill/116th-congress/senate-bill/3462,"116th Congress (2019-2020)",,"A bill to designate the facility of the United States Postal Service located at 909 West Holiday Drive in Fate, Texas, as the ""Ralph Hall Post Office"".","Sen. Cornyn, John [R-TX]",03/12/2020,,,,1,"Senate - Homeland Security and Governmental Affairs",12/30/2020,"Became Public Law No: 116-266."
"S. 3461",https://www.congress.gov/bill/116th-congress/senate-bill/3461,"116th Congress (2019-2020)",,"A bill to designate the facility of the United States Postal Service located at 2600 Wesley Street in Greenville, Texas, as the ""Audie Murphy Post Office Building"".","Sen. Cornyn, John [R-TX]",03/12/2020,,,,1,"Senate - Homeland Security and Governmental Affairs",12/30/2020,"Became Public Law No: 116-265."
"S. 3418",https://www.congress.gov/bill/116th-congress/senate-bill/3418,"116th Congress (2019-2020)",,"STORM Act","Sen. Peters, Gary C. [D-MI]",03/09/2020,,,,5,"Senate - Homeland Security and Governmental Affairs",01/01/2021,"Became Public Law No: 116-284."
"S. 3414",https://www.congress.gov/bill/116th-congress/senate-bill/3414,"116th Congress (2019-2020)",,"Major Medical Facility Authorization Act of 2020","Sen. Moran, Jerry [R-KS]",03/05/2020,,,,1,"House - Veterans' Affairs",06/16/2020,"Became Public Law No: 116-144."
"S. 3312",https://www.congress.gov/bill/116th-congress/senate-bill/3312,"116th Congress (2019-2020)",,"Crisis Stabilization and Community Reentry Act of 2020","Sen. Cornyn, John [R-TX]",02/13/2020,,,,3,"Senate - Judiciary",12/31/2020,"Became Public Law No: 116-281."
"S. 3257",https://www.congress.gov/bill/116th-congress/senate-bill/3257,"116th Congress (2019-2020)",,"A bill to designate the facility of the United States Postal Service located at 311 West Wisconsin Avenue in Tomahawk, Wisconsin, as the ""Einar 'Sarge' H. Ingman, Jr. Post Office Building"".","Sen. Johnson, Ron [R-WI]",02/05/2020,,,,1,"Senate - Homeland Security and Governmental Affairs",12/30/2020,"Became Public Law No: 116-264."
"S. 3201",https://www.congress.gov/bill/116th-congress/senate-bill/3201,"116th Congress (2019-2020)",,"Temporary Reauthorization and Study of the Emergency Scheduling of Fentanyl Analogues Act","Sen. Graham, Lindsey [R-SC]",01/16/2020,,,,6,"House - Energy and Commerce, Judiciary, Ways and Means",02/06/2020,"Became Public Law No: 116-114."
"S. 3147",https://www.congress.gov/bill/116th-congress/senate-bill/3147,"116th Congress (2019-2020)",,"Improving Safety and Security for Veterans Act of 2019","Sen. Manchin, Joe, III [D-WV]",12/19/2019,,,,1,"House - Veterans' Affairs",12/04/2020,"Became Public Law No: 116-212."
"S. 3105",https://www.congress.gov/bill/116th-congress/senate-bill/3105,"116th Congress (2019-2020)",,"A bill to designate the facility of the United States Postal Service located at 456 North Meridian Street in Indianapolis, Indiana, as the ""Richard G. Lugar Post Office"".","Sen. Braun, Mike  [R-IN]",12/18/2019,,,,1,,10/01/2020,"Became Public Law No: 116-161."
"S. 3084",https://www.congress.gov/bill/116th-congress/senate-bill/3084,"116th Congress (2019-2020)",,"A bill to amend title 38, United States Code, to modify the limitation on pay for certain high-level employees and officers of the Department of Veterans Affairs.","Sen. Moran, Jerry [R-KS]",12/18/2019,,,,1,"House - Veterans' Affairs | Senate - Veterans' Affairs",07/02/2020,"Became Public Law No: 116-146."
"S. 3051",https://www.congress.gov/bill/116th-congress/senate-bill/3051,"116th Congress (2019-2020)",,"America's Conservation Enhancement Act","Sen. Barrasso, John [R-WY]",12/12/2019,,,,9,"Senate - Environment and Public Works",10/30/2020,"Became Public Law No: 116-188."
"S. 2981",https://www.congress.gov/bill/116th-congress/senate-bill/2981,"116th Congress (2019-2020)",,"National Oceanic and Atmospheric Administration Commissioned Officer Corps Amendments Act of 2020","Sen. Sullivan, Dan  [R-AK]",12/04/2019,,,,2,"Senate - Commerce, Science, and Transportation",12/23/2020,"Became Public Law No: 116-259."
"S. 2904",https://www.congress.gov/bill/116th-congress/senate-bill/2904,"116th Congress (2019-2020)",,"IOGAN Act","Sen. Cortez Masto, Catherine  [D-NV]",11/20/2019,,,,1,"Senate - Commerce, Science, and Transportation",12/23/2020,"Became Public Law No: 116-258."
"S. 2746",https://www.congress.gov/bill/116th-congress/senate-bill/2746,"116th Congress (2019-2020)",,"Law Enforcement Suicide Data Collection Act","Sen. Cortez Masto, Catherine  [D-NV]",10/30/2019,,,,7,"Senate - Judiciary",06/16/2020,"Became Public Law No: 116-143."
"S. 2730",https://www.congress.gov/bill/116th-congress/senate-bill/2730,"116th Congress (2019-2020)",,"Drone Advisory Committee for the 21st Century Act","Sen. Peters, Gary C. [D-MI]",10/29/2019,,,,2,"Senate - Commerce, Science, and Transportation",12/31/2020,"Became Public Law No: 116-280."
"S. 2710",https://www.congress.gov/bill/116th-congress/senate-bill/2710,"116th Congress (2019-2020)",,"A bill to prohibit the commercial export of covered munitions items to the Hong Kong Police Force.","Sen. Merkley, Jeff [D-OR]",10/24/2019,,,,17,"Senate - Banking, Housing, and Urban Affairs",11/27/2019,"Became Public Law No: 116-77."
"S. 2683",https://www.congress.gov/bill/116th-congress/senate-bill/2683,"116th Congress (2019-2020)",,"Child Care Protection Improvement Act of 2020","Sen. Burr, Richard [R-NC]",10/23/2019,,,,5,"House - Education and Labor | Senate - Health, Education, Labor, and Pensions",12/31/2020,"Became Public Law No: 116-279."
"S. 2661",https://www.congress.gov/bill/116th-congress/senate-bill/2661,"116th Congress (2019-2020)",,"National Suicide Hotline Designation Act of 2020","Sen. Gardner, Cory [R-CO]",10/22/2019,,,,34,"Senate - Commerce, Science, and Transportation",10/17/2020,"Became Public Law No: 116-172."
"S. 2638",https://www.congress.gov/bill/116th-congress/senate-bill/2638,"116th Congress (2019-2020)",,"Friendly Airports for Mothers Improvement Act","Sen. Duckworth, Tammy [D-IL]",10/17/2019,,,,4,"Senate - Commerce, Science, and Transportation",10/30/2020,"Became Public Law No: 116-190."
"S. 2472",https://www.congress.gov/bill/116th-congress/senate-bill/2472,"116th Congress (2019-2020)",,"Neil A. Armstrong Test Facility Act","Sen. Portman, Rob [R-OH]",09/12/2019,,,,1,"Senate - Commerce, Science, and Transportation",12/30/2020,"Became Public Law No: 116-263."
"S. 2330",https://www.congress.gov/bill/116th-congress/senate-bill/2330,"116th Congress (2019-2020)",,"Empowering Olympic, Paralympic, and Amateur Athletes Act of 2020","Sen. Moran, Jerry [R-KS]",07/30/2019,,,,16,"Senate - Commerce, Science, and Transportation",10/30/2020,"Became Public Law No: 116-189."
"S. 2258",https://www.congress.gov/bill/116th-congress/senate-bill/2258,"116th Congress (2019-2020)",,"Criminal Antitrust Anti-Retaliation Act of 2019","Sen. Grassley, Chuck [R-IA]",07/24/2019,,,,9,,12/23/2020,"Became Public Law No: 116-257."
"S. 2249",https://www.congress.gov/bill/116th-congress/senate-bill/2249,"116th Congress (2019-2020)",,"A bill to allow the Deputy Administrator of the Federal Aviation Administration on the date of enactment of this Act to continue to serve as such Deputy Administrator.","Sen. Wicker, Roger F. [R-MS]",07/24/2019,,,,0,"House - Transportation and Infrastructure",08/02/2019,"Became Public Law No: 116-38."
"S. 2216",https://www.congress.gov/bill/116th-congress/senate-bill/2216,"116th Congress (2019-2020)",,"TEAM Veteran Caregivers Act","Sen. Peters, Gary C. [D-MI]",07/23/2019,,,,18,"Senate - Veterans' Affairs",12/31/2020,"Became Public Law No: 116-278."
"S. 2193",https://www.congress.gov/bill/116th-congress/senate-bill/2193,"116th Congress (2019-2020)",,"CHARGE Act","Sen. Peters, Gary C. [D-MI]",07/18/2019,,,,1,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",10/01/2020,"Became Public Law No: 116-160."
"S. 2174",https://www.congress.gov/bill/116th-congress/senate-bill/2174,"116th Congress (2019-2020)",,"Missing Persons and Unidentified Remains Act of 2019","Sen. Cornyn, John [R-TX]",07/18/2019,,,,3,"Senate - Judiciary",12/31/2020,"Became Public Law No: 116-277."
"S. 2163",https://www.congress.gov/bill/116th-congress/senate-bill/2163,"116th Congress (2019-2020)",,"Commission on the Social Status of Black Men and Boys Act","Sen. Rubio, Marco [R-FL]",07/18/2019,,,,13,"Senate - Health, Education, Labor, and Pensions",08/14/2020,"Became Public Law No: 116-156."
"S. 2107",https://www.congress.gov/bill/116th-congress/senate-bill/2107,"116th Congress (2019-2020)",,"Protecting America's Food and Agriculture Act of 2019","Sen. Peters, Gary C. [D-MI]",07/11/2019,,,,6,"House - Homeland Security, Agriculture | Senate - Homeland Security and Governmental Affairs",03/03/2020,"Became Public Law No: 116-122."
"S. 2047",https://www.congress.gov/bill/116th-congress/senate-bill/2047,"116th Congress (2019-2020)",,"A bill to provide for a 2-week extension of the Medicaid community mental health services demonstration program, and for other purposes.","Sen. Schumer, Charles E. [D-NY]",06/27/2019,,,,0,,07/05/2019,"Became Public Law No: 116-29."
"S. 1982",https://www.congress.gov/bill/116th-congress/senate-bill/1982,"116th Congress (2019-2020)",,"Save Our Seas 2.0 Act","Sen. Sullivan, Dan  [R-AK]",06/26/2019,,,,19,"House - Transportation and Infrastructure, Natural Resources, Foreign Affairs, Energy and Commerce, Science, Space, and Technology, Agriculture | Senate - Commerce, Science, and Transportation",12/18/2020,"Became Public Law No: 116-224."
"S. 1869",https://www.congress.gov/bill/116th-congress/senate-bill/1869,"116th Congress (2019-2020)",,"Secure Federal LEASEs Act","Sen. Peters, Gary C. [D-MI]",06/13/2019,,,,1,"House - Transportation and Infrastructure | Senate - Homeland Security and Governmental Affairs",12/31/2020,"Became Public Law No: 116-276."
"S. 1838",https://www.congress.gov/bill/116th-congress/senate-bill/1838,"116th Congress (2019-2020)",,"Hong Kong Human Rights and Democracy Act of 2019","Sen. Rubio, Marco [R-FL]",06/13/2019,,,,56,"Senate - Foreign Relations",11/27/2019,"Became Public Law No: 116-76."
"S. 1822",https://www.congress.gov/bill/116th-congress/senate-bill/1822,"116th Congress (2019-2020)",,"Broadband DATA Act","Sen. Wicker, Roger F. [R-MS]",06/12/2019,,,,69,"Senate - Commerce, Science, and Transportation",03/23/2020,"Became Public Law No: 116-130."
"S. 1790",https://www.congress.gov/bill/116th-congress/senate-bill/1790,"116th Congress (2019-2020)",,"National Defense Authorization Act 
for Fiscal Year 2020","Sen. Inhofe, James M. [R-OK]",06/11/2019,,,,0,"Senate - Armed Services",12/20/2019,"Became Public Law No: 116-92."
"S. 1749",https://www.congress.gov/bill/116th-congress/senate-bill/1749,"116th Congress (2019-2020)",,"Protecting Affordable Mortgages for Veterans Act of 2019","Sen. Sinema, Kyrsten [D-AZ]",06/05/2019,,,,1,"House - Financial Services, Veterans' Affairs",07/25/2019,"Became Public Law No: 116-33."
"S. 1694",https://www.congress.gov/bill/116th-congress/senate-bill/1694,"116th Congress (2019-2020)",,"One Small Step to Protect Human Heritage in Space Act","Sen. Peters, Gary C. [D-MI]",05/23/2019,,,,5,"House - Science, Space, and Technology, Foreign Affairs | Senate - Commerce, Science, and Transportation",12/31/2020,"Became Public Law No: 116-275."
"S. 1693",https://www.congress.gov/bill/116th-congress/senate-bill/1693,"116th Congress (2019-2020)",,"National Flood Insurance Program Extension Act of 2019","Sen. Kennedy, John [R-LA]",05/23/2019,,,,0,,05/31/2019,"Became Public Law No: 116-19."
"S. 1689",https://www.congress.gov/bill/116th-congress/senate-bill/1689,"116th Congress (2019-2020)",,"A bill to permit States to transfer certain funds from the clean water revolving fund of a State to the drinking water revolving fund of the State in certain circumstances, and for other purposes.","Sen. Booker, Cory A. [D-NJ]",05/23/2019,,,,1,"Senate - Environment and Public Works",10/04/2019,"Became Public Law No: 116-63."
"S. 1678",https://www.congress.gov/bill/116th-congress/senate-bill/1678,"116th Congress (2019-2020)",,"Taiwan Allies International Protection and Enhancement Initiative (TAIPEI) Act of 2019","Sen. Gardner, Cory [R-CO]",05/23/2019,,,,7,"House - Foreign Affairs, Ways and Means | Senate - Foreign Relations",03/26/2020,"Became Public Law No: 116-135."
"S. 1646",https://www.congress.gov/bill/116th-congress/senate-bill/1646,"116th Congress (2019-2020)",,"A bill to designate the community-based outpatient clinic of the Department of Veterans Affairs in St. Augustine, Florida, as the ""Leo C. Chase Jr. Department of Veterans Affairs Clinic"".","Sen. Rubio, Marco [R-FL]",05/23/2019,,,,1,"Senate - Veterans' Affairs",10/13/2020,"Became Public Law No: 116-168."
"S. 1436",https://www.congress.gov/bill/116th-congress/senate-bill/1436,"116th Congress (2019-2020)",,"A bill to make technical corrections to the computation of average pay under Public Law 110-279.","Sen. Brown, Sherrod [D-OH]",05/13/2019,,,,2,,06/12/2019,"Became Public Law No: 116-21."
"S. 1380",https://www.congress.gov/bill/116th-congress/senate-bill/1380,"116th Congress (2019-2020)",,"Due Process Protections Act","Sen. Sullivan, Dan  [R-AK]",05/08/2019,,,,6,"Senate - Judiciary",10/21/2020,"Became Public Law No: 116-182."
"S. 1379",https://www.congress.gov/bill/116th-congress/senate-bill/1379,"116th Congress (2019-2020)",,"Pandemic and All-Hazards Preparedness and Advancing Innovation Act of 2019","Sen. Burr, Richard [R-NC]",05/08/2019,,,,3,"Senate - Health, Education, Labor, and Pensions",06/24/2019,"Became Public Law No: 116-22."
"S. 1342",https://www.congress.gov/bill/116th-congress/senate-bill/1342,"116th Congress (2019-2020)",,"Great Lakes Environmental Sensitivity Index Act of 2020","Sen. Peters, Gary C. [D-MI]",05/07/2019,,,,2,"Senate - Commerce, Science, and Transportation",12/31/2020,"Became Public Law No: 116-274."
"S. 1321",https://www.congress.gov/bill/116th-congress/senate-bill/1321,"116th Congress (2019-2020)",,"Defending the Integrity of Voting Systems Act","Sen. Blumenthal, Richard [D-CT]",05/06/2019,,,,2,"House - Judiciary | Senate - Judiciary",10/20/2020,"Became Public Law No: 116-179."
"S. 1310",https://www.congress.gov/bill/116th-congress/senate-bill/1310,"116th Congress (2019-2020)",,"Organization of American States Legislative Engagement Act of 2020","Sen. Cardin, Benjamin L. [D-MD]",05/02/2019,,,,2,"Senate - Foreign Relations",01/13/2021,"Became Public Law No: 116-343."
"S. 1196",https://www.congress.gov/bill/116th-congress/senate-bill/1196,"116th Congress (2019-2020)",,"A bill to designate the facility of the United States Postal Service located at 1715 Linnerud Drive in Sun Prairie, Wisconsin, as the ""Fire Captain Cory Barr Post Office Building"".","Sen. Baldwin, Tammy [D-WI]",04/11/2019,,,,1,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",10/31/2019,"Became Public Law No: 116-66."
"S. 1153",https://www.congress.gov/bill/116th-congress/senate-bill/1153,"116th Congress (2019-2020)",,"Stop Student Debt Relief Scams Act of 2019","Sen. Baldwin, Tammy [D-WI]",04/11/2019,,,,8,"Senate - Health, Education, Labor, and Pensions",12/22/2020,"Became Public Law No: 116-251."
"S. 1130",https://www.congress.gov/bill/116th-congress/senate-bill/1130,"116th Congress (2019-2020)",,"Scarlett's Sunshine on Sudden Unexpected Death Act","Sen. Casey, Robert P., Jr. [D-PA]",04/10/2019,,,,10,"Senate - Health, Education, Labor, and Pensions",12/31/2020,"Became Public Law No: 116-273."
"S. 1069",https://www.congress.gov/bill/116th-congress/senate-bill/1069,"116th Congress (2019-2020)",,"Digital Coast Act","Sen. Baldwin, Tammy [D-WI]",04/09/2019,,,,4,"Senate - Commerce, Science, and Transportation",12/18/2020,"Became Public Law No: 116-223."
"S. 1014",https://www.congress.gov/bill/116th-congress/senate-bill/1014,"116th Congress (2019-2020)",,"Route 66 Centennial Commission Act","Sen. Duckworth, Tammy [D-IL]",04/03/2019,,,,2,"Senate - Environment and Public Works",12/23/2020,"Became Public Law No: 116-256."
"S. 998",https://www.congress.gov/bill/116th-congress/senate-bill/998,"116th Congress (2019-2020)",,"Supporting and Treating Officers In Crisis Act of 2019","Sen. Hawley, Josh  [R-MO]",04/03/2019,,,,21,"House - Judiciary | Senate - Judiciary",07/25/2019,"Became Public Law No: 116-32."
"S. 982",https://www.congress.gov/bill/116th-congress/senate-bill/982,"116th Congress (2019-2020)",,"Not Invisible Act of 2019","Sen. Cortez Masto, Catherine  [D-NV]",04/02/2019,,,,8,"Senate - Indian Affairs",10/10/2020,"Became Public Law No: 116-166."
"S. 979",https://www.congress.gov/bill/116th-congress/senate-bill/979,"116th Congress (2019-2020)",,"FACE Act","Sen. Rubio, Marco [R-FL]",04/02/2019,,,,5,"House - Transportation and Infrastructure | Senate - Homeland Security and Governmental Affairs",12/31/2020,"Became Public Law No: 116-272."
"S. 945",https://www.congress.gov/bill/116th-congress/senate-bill/945,"116th Congress (2019-2020)",,"Holding Foreign Companies Accountable Act","Sen. Kennedy, John [R-LA]",03/28/2019,,,,4,"Senate - Banking, Housing, and Urban Affairs",12/18/2020,"Became Public Law No: 116-222."
"S. 914",https://www.congress.gov/bill/116th-congress/senate-bill/914,"116th Congress (2019-2020)",,"Coordinated Ocean Observations and Research Act of 2020","Sen. Wicker, Roger F. [R-MS]",03/27/2019,,,,3,"House - Natural Resources, Science, Space, and Technology, Financial Services | Senate - Commerce, Science, and Transportation",12/31/2020,"Became Public Law No: 116-271."
"S. 910",https://www.congress.gov/bill/116th-congress/senate-bill/910,"116th Congress (2019-2020)",,"National Sea Grant College Program Amendments Act of 2020","Sen. Wicker, Roger F. [R-MS]",03/27/2019,,,,5,"Senate - Commerce, Science, and Transportation",12/18/2020,"Became Public Law No: 116-221."
"S. 900",https://www.congress.gov/bill/116th-congress/senate-bill/900,"116th Congress (2019-2020)",,"A bill to designate the community-based outpatient clinic of the Department of Veterans Affairs in Bozeman, Montana, as the ""Travis W. Atkins Department of Veterans Affairs Clinic"".","Sen. Daines, Steve [R-MT]",03/27/2019,,,,1,"House - Veterans' Affairs | Senate - Veterans' Affairs",12/30/2020,"Became Public Law No: 116-262."
"S. 893",https://www.congress.gov/bill/116th-congress/senate-bill/893,"116th Congress (2019-2020)",,"Secure 5G and Beyond Act of 2020","Sen. Cornyn, John [R-TX]",03/27/2019,,,,10,"Senate - Commerce, Science, and Transportation",03/23/2020,"Became Public Law No: 116-129."
"S. 881",https://www.congress.gov/bill/116th-congress/senate-bill/881,"116th Congress (2019-2020)",,"PROSWIFT Act","Sen. Peters, Gary C. [D-MI]",03/26/2019,,,,1,"Senate - Commerce, Science, and Transportation",10/21/2020,"Became Public Law No: 116-181."
"S. 863",https://www.congress.gov/bill/116th-congress/senate-bill/863,"116th Congress (2019-2020)",,"A bill to amend title 38, United States Code, to clarify the grade and pay of podiatrists of the Department of Veterans Affairs.","Sen. Cassidy, Bill [R-LA]",03/25/2019,,,,1,"House - Veterans' Affairs",04/08/2019,"Became Public Law No: 116-12."
"S. 862",https://www.congress.gov/bill/116th-congress/senate-bill/862,"116th Congress (2019-2020)",,"Rebuilding Small Businesses After Disasters Act","Sen. Kennedy, John [R-LA]",03/25/2019,,,,3,"Senate - Small Business and Entrepreneurship",11/22/2019,"Became Public Law No: 116-70."
"S. 832",https://www.congress.gov/bill/116th-congress/senate-bill/832,"116th Congress (2019-2020)",,"A bill to nullify the Supplemental Treaty Between the United States of America and the Confederated Tribes and Bands of Indians of Middle Oregon, concluded on November 15, 1865.","Sen. Merkley, Jeff [D-OR]",03/14/2019,,,,1,"House - Natural Resources | Senate - Indian Affairs",10/20/2020,"Became Public Law No: 116-175."
"S. 785",https://www.congress.gov/bill/116th-congress/senate-bill/785,"116th Congress (2019-2020)",,"Commander John Scott Hannon Veterans Mental Health Care Improvement Act of 2019","Sen. Tester, Jon [D-MT]",03/13/2019,,,,53,"Senate - Veterans' Affairs",10/17/2020,"Became Public Law No: 116-171."
"S. 760",https://www.congress.gov/bill/116th-congress/senate-bill/760,"116th Congress (2019-2020)",,"Support for Veterans in Effective Apprenticeships Act of 2019","Sen. Peters, Gary C. [D-MI]",03/12/2019,,,,3,"Senate - Health, Education, Labor, and Pensions",03/26/2020,"Became Public Law No: 116-134."
"S. 744",https://www.congress.gov/bill/116th-congress/senate-bill/744,"116th Congress (2019-2020)",,"Effective Prosecution of Possession of Biological Toxins and Agents Act of 2019","Sen. Grassley, Chuck [R-IA]",03/12/2019,,,,3,"House - Judiciary | Senate - Judiciary",07/25/2019,"Became Public Law No: 116-31."
"S. 743",https://www.congress.gov/bill/116th-congress/senate-bill/743,"116th Congress (2019-2020)",,"Merrill's Marauders Congressional Gold Medal Act","Sen. Isakson, Johnny [R-GA]",03/12/2019,,,,76,"House - Financial Services, House Administration | Senate - Banking, Housing, and Urban Affairs",10/17/2020,"Became Public Law No: 116-170."
"S. 737",https://www.congress.gov/bill/116th-congress/senate-bill/737,"116th Congress (2019-2020)",,"Building Blocks of STEM Act","Sen. Rosen, Jacky [D-NV]",03/11/2019,,,,8,"Senate - Commerce, Science, and Transportation",12/24/2019,"Became Public Law No: 116-102."
"S. 725",https://www.congress.gov/bill/116th-congress/senate-bill/725,"116th Congress (2019-2020)",,"A bill to change the address of the postal facility designated in honor of Captain Humayun Khan.","Sen. Kaine, Tim [D-VA]",03/07/2019,,,,1,"House - Oversight and Reform",04/16/2019,"Became Public Law No: 116-15."
"S. 693",https://www.congress.gov/bill/116th-congress/senate-bill/693,"116th Congress (2019-2020)",,"National POW/MIA Flag Act","Sen. Warren, Elizabeth [D-MA]",03/07/2019,,,,7,"House - Judiciary | Senate - Judiciary",11/07/2019,"Became Public Law No: 116-67."
"S. 578",https://www.congress.gov/bill/116th-congress/senate-bill/578,"116th Congress (2019-2020)",,"ALS Disability Insurance Access Act of 2019","Sen. Whitehouse, Sheldon [D-RI]",02/27/2019,,,,67,"Senate - Finance",12/22/2020,"Became Public Law No: 116-250."
"S. 504",https://www.congress.gov/bill/116th-congress/senate-bill/504,"116th Congress (2019-2020)",,"Let Everyone Get Involved in Opportunities for National Service Act","Sen. Sinema, Kyrsten [D-AZ]",02/14/2019,,,,35,"House - Judiciary | Senate - Judiciary",07/30/2019,"Became Public Law No: 116-35."
"S. 490",https://www.congress.gov/bill/116th-congress/senate-bill/490,"116th Congress (2019-2020)",,"B-47 Ridge Designation Act","Sen. Daines, Steve [R-MT]",02/14/2019,,,,1,"House - Natural Resources | Senate - Energy and Natural Resources",10/13/2020,"Became Public Law No: 116-167."
"S. 483",https://www.congress.gov/bill/116th-congress/senate-bill/483,"116th Congress (2019-2020)",,"Pesticide Registration Improvement Extension Act of 2018","Sen. Roberts, Pat [R-KS]",02/13/2019,,,,2,,03/08/2019,"Became Public Law No: 116-8."
"S. 461",https://www.congress.gov/bill/116th-congress/senate-bill/461,"116th Congress (2019-2020)",,"HBCU PARTNERS Act","Sen. Scott, Tim [R-SC]",02/12/2019,,,,15,"House - Oversight and Reform, Education and Labor",12/31/2020,"Became Public Law No: 116-270."
"S. 457",https://www.congress.gov/bill/116th-congress/senate-bill/457,"116th Congress (2019-2020)",,"President George H.W. Bush and First Spouse Barbara Bush Coin Act","Sen. Cornyn, John [R-TX]",02/12/2019,,,,66,"Senate - Banking, Housing, and Urban Affairs",01/27/2020,"Became Public Law No: 116-112."
"S. 394",https://www.congress.gov/bill/116th-congress/senate-bill/394,"116th Congress (2019-2020)",,"Presidential Transition Enhancement Act of 2019","Sen. Johnson, Ron [R-WI]",02/07/2019,,,,3,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",03/03/2020,"Became Public Law No: 116-121."
"S. 375",https://www.congress.gov/bill/116th-congress/senate-bill/375,"116th Congress (2019-2020)",,"Payment Integrity Information Act of 2019","Sen. Carper, Thomas R. [D-DE]",02/07/2019,,,,3,"House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs",03/02/2020,"Became Public Law No: 116-117."
"S. 371",https://www.congress.gov/bill/116th-congress/senate-bill/371,"116th Congress (2019-2020)",,"BUILD Act","Sen. Fischer, Deb [R-NE]",02/07/2019,,,,5,"Senate - Banking, Housing, and Urban Affairs",01/13/2021,"Became Public Law No: 116-342."
"S. 327",https://www.congress.gov/bill/116th-congress/senate-bill/327,"116th Congress (2019-2020)",,"Wounded Veterans Recreation Act","Sen. Shaheen, Jeanne [D-NH]",02/04/2019,,,,4,"Senate - Energy and Natural Resources",12/03/2020,"Became Public Law No: 116-205."
"S. 294",https://www.congress.gov/bill/116th-congress/senate-bill/294,"116th Congress (2019-2020)",,"Native American Business Incubators Program Act","Sen. Udall, Tom [D-NM]",01/31/2019,,,,5,"House - Natural Resources | Senate - Indian Affairs",10/20/2020,"Became Public Law No: 116-174."
"S. 256",https://www.congress.gov/bill/116th-congress/senate-bill/256,"116th Congress (2019-2020)",,"Esther Martinez Native American Languages Programs Reauthorization Act","Sen. Udall, Tom [D-NM]",01/29/2019,,,,10,"House - Education and Labor | Senate - Indian Affairs",12/20/2019,"Became Public Law No: 116-101."
"S. 252",https://www.congress.gov/bill/116th-congress/senate-bill/252,"116th Congress (2019-2020)",,"A bill to authorize the honorary appointment of Robert J. Dole to the grade of colonel in the regular Army.","Sen. Roberts, Pat [R-KS]",01/29/2019,,,,1,"House - Armed Services | Senate - Armed Services",04/06/2019,"Became Public Law No: 116-11."
"S. 239",https://www.congress.gov/bill/116th-congress/senate-bill/239,"116th Congress (2019-2020)",,"Christa McAuliffe Commemorative Coin Act of 2019","Sen. Shaheen, Jeanne [D-NH]",01/28/2019,,,,83,"Senate - Banking, Housing, and Urban Affairs",10/09/2019,"Became Public Law No: 116-65."
"S. 227",https://www.congress.gov/bill/116th-congress/senate-bill/227,"116th Congress (2019-2020)",,"Savanna's Act","Sen. Murkowski, Lisa [R-AK]",01/25/2019,,,,29,"Senate - Indian Affairs",10/10/2020,"Became Public Law No: 116-165."
"S. 216",https://www.congress.gov/bill/116th-congress/senate-bill/216,"116th Congress (2019-2020)",,"Spokane Tribe of Indians of the Spokane Reservation Equitable Compensation Act","Sen. Cantwell, Maria [D-WA]",01/24/2019,,,,1,"House - Natural Resources | Senate - Indian Affairs",12/20/2019,"Became Public Law No: 116-100."
"S. 212",https://www.congress.gov/bill/116th-congress/senate-bill/212,"116th Congress (2019-2020)",,"Indian Community Economic Enhancement Act of 2020","Sen. Hoeven, John [R-ND]",01/24/2019,,,,1,"House - Natural Resources, Education and Labor | Senate - Indian Affairs",12/30/2020,"Became Public Law No: 116-261."
